title,subject,type,id,family_name,given_name
Die handschriftliche Überlieferung des Galenkommentars zu Hippokrates' De articulis.,Altertumswissenschaft,Dissertation,456bc381-319f-66ce-9f1e-4eb3e944349a,Kudlien,Fridolf Albert Ferdinand
Physikalische Eigenschaften und Konstitution der Grignardschen Verbindungen.,Chemie,Dissertation,9c9bb14a-1dde-b598-36c3-4d4c60c5b99e,Zeil,Werner
,Physikalische Chemie,Habilitation,9c9bb14a-1dde-b598-36c3-4d4c60c5b99e,Zeil,Werner
,Zoologie,Habilitation,b3a35f26-6ac6-9e45-dd86-4d4c605d1094,Lenz,Friedrich Matthias
"Die Metamorphose der Chironomus-Gruppe, Morphologie der Puppen und Larven.",Zoologie,Dissertation,b3a35f26-6ac6-9e45-dd86-4d4c605d1094,Lenz,Friedrich Matthias
Die Entstehung des Städtewesens in Südosteuropa.,Geschichte,Habilitation,b26b69cc-50f7-2433-cabf-4d4c60e49532,Schünemann,Karl Heinrich Konrad
Die Deutschen in Ungarn bis zum 12. Jahrhundert.,Geschichte,Dissertation,b26b69cc-50f7-2433-cabf-4d4c60e49532,Schünemann,Karl Heinrich Konrad
Vokalismus der schwäbischen Mundart von Horb.,Germanische Philologie,Habilitation,ac2a8f05-56ff-38b2-98b7-4d4c6030c4bf,Kauffmann,Friedrich
Die Rhythmik des Heliand.,Germanische Philologie,Dissertation,ac2a8f05-56ff-38b2-98b7-4d4c6030c4bf,Kauffmann,Friedrich
Die Begriffe Wort und Evangelium bei Paulus.,Theologie,Dissertation,51180ed0-fa0a-7479-87b6-516681c99883,Schniewind,Julius Daniel
Die Parallelperikopen bei Lukas und Johannes.,Neues Testament,Habilitation,51180ed0-fa0a-7479-87b6-516681c99883,Schniewind,Julius Daniel
Über die plastische Dehnung der Geburtswege.,Gynäkologie und Geburtshilfe,,ba5a1eab-79c9-6f01-eb99-4d4c606a9401,Runge,Hans Heinrich Emil Franz
Die Röntgenbehandlung von Hirn- und Rückenmarkstumoren.,Tumortherapie,Dissertation,ba5a1eab-79c9-6f01-eb99-4d4c606a9401,Runge,Hans Heinrich Emil Franz
Die Stärke der anomalen Dispersion in nicht leuchtendem Dampfe von Thallium und Cadmium.,Physikalische Chemie,Habilitation,b13eed70-4ce8-faaa-f8a1-4d4c60451290,Kuhn,Werner
Die photochemische Zersetzung von Ammoniak,Chemie,Dissertation,b13eed70-4ce8-faaa-f8a1-4d4c60451290,Kuhn,Werner
Grundfragen der Didaktik.,Philosophie und Pädagogik,Habilitation,b0c60de1-078b-f78c-0cbd-4d4c60f2a8a2,Flitner,Wilhelm August
